國,英,數甲,數乙,歷,地,公,物,化,生
0,0,28,309,0,0,0,0,42,0
0,3,0,0,0,0,0,4,13,0
5,4,18,27,0,0,0,10,48,0
0,15,0,35,0,0,0,24,50,0
7,17,75,559,2,3,2,40,73,0
7,34,0,3,4,1,1,41,99,0
26,63,55,309,6,22,3,56,79,6
24,76,92,377,10,1,2,74,112,6
77,127,54,183,12,56,5,85,118,8
74,112,55,73,21,4,14,124,103,13
96,191,137,779,29,106,25,126,135,21
142,240,64,144,40,22,38,150,129,26
188,282,119,291,70,180,59,167,133,37
232,308,148,694,91,27,52,145,176,43
286,356,161,303,102,312,120,170,149,71
337,392,122,235,126,37,62,184,169,87
467,465,185,765,188,452,175,202,200,97
400,468,159,250,189,75,129,200,180,119
611,515,196,437,231,589,232,229,192,118
442,531,214,581,245,81,174,211,196,131
796,559,218,334,320,734,288,232,227,187
562,569,188,437,344,97,221,217,223,179
904,572,293,547,384,945,391,242,214,228
600,612,188,339,402,139,259,257,237,218
1030,659,296,510,441,949,442,265,204,230
683,658,240,434,487,138,308,271,248,236
1157,640,299,360,500,1091,521,287,221,212
726,637,257,509,487,156,338,265,255,227
1221,618,377,406,543,1233,510,274,247,247
776,674,261,415,578,164,339,254,238,255
1247,652,362,507,569,1230,557,266,258,261
836,659,254,417,545,169,419,273,253,255
1257,626,374,447,586,1289,591,275,267,238
815,658,284,439,581,194,414,250,233,244
1259,660,411,403,622,1226,663,290,244,225
870,627,276,358,622,188,443,276,264,272
1290,611,411,434,579,1197,682,307,266,251
826,650,269,432,588,212,445,261,258,258
1263,624,464,398,566,1220,650,293,279,266
794,611,273,359,630,210,436,294,273,277
1256,609,429,432,578,1132,720,267,286,284
804,623,261,336,560,178,466,278,265,301
1202,598,441,428,514,1061,698,272,292,273
817,634,291,377,512,195,435,263,283,274
1163,657,413,396,538,969,724,288,285,237
794,617,266,383,552,143,453,251,262,270
1146,565,425,379,524,930,652,260,298,280
724,579,291,344,543,165,442,290,293,234
1088,565,429,401,569,845,666,256,307,249
801,556,276,362,520,128,438,265,274,254
1093,555,430,392,521,732,605,298,281,240
754,570,290,404,519,138,421,258,286,258
1048,556,436,316,478,699,603,275,298,263
660,608,281,374,512,83,365,280,282,284
1083,582,415,365,445,555,516,255,306,231
670,572,252,345,452,82,319,257,285,251
985,570,408,362,462,489,490,254,307,261
687,570,298,330,429,75,249,253,266,243
893,572,406,432,411,398,389,259,289,209
642,579,300,368,442,56,235,285,279,213
816,611,398,330,400,364,341,291,276,217
556,593,251,413,348,45,191,263,280,191
753,555,423,384,376,288,300,271,258,210
470,602,244,403,344,28,179,305,315,214
634,622,339,432,341,247,211,295,285,217
440,622,297,325,297,21,143,295,277,184
552,613,339,406,301,207,196,275,290,175
327,632,247,391,305,20,113,301,266,188
453,649,367,396,256,162,134,295,270,169
294,652,194,437,245,9,71,259,294,150
375,703,357,414,252,119,111,274,300,161
219,700,288,361,199,8,59,314,267,154
261,744,277,511,185,94,78,293,334,155
148,737,233,278,194,3,46,278,248,154
214,706,358,470,110,62,47,284,267,145
110,751,143,426,152,3,24,291,342,125
144,737,342,397,113,58,34,264,310,115
77,801,230,520,122,0,20,275,290,105
100,814,233,420,107,28,34,265,322,107
47,814,280,308,89,1,15,216,260,90
53,743,294,584,69,22,24,231,269,72
22,789,119,233,64,0,6,212,305,73
39,735,281,485,38,23,12,176,231,64
16,678,142,473,34,0,4,183,211,55
17,729,177,379,26,9,5,141,341,49
3,601,241,477,19,0,3,90,237,33
6,492,190,451,13,12,1,105,175,25
2,399,91,132,11,0,3,99,236,17
5,325,191,532,5,5,1,52,157,13
1,234,56,179,4,0,0,53,116,13
4,160,131,282,1,0,0,46,148,1
0,127,145,353,1,0,0,28,100,1
2,75,58,157,1,0,1,18,61,3
0,42,69,187,1,0,0,15,56,0
2,33,73,277,0,0,1,9,45,1
0,18,3,10,0,0,0,3,20,0
0,8,59,175,1,0,0,4,20,1
0,4,38,101,0,0,0,5,10,0
1,1,1,3,1,0,0,0,1,0
0,0,34,110,0,0,0,1,2,0
5,2,16,110,1,2,0,8,8,2
