科目數量,科目組合代號,,,,
3,4,5,6,,
3,3,8,9,,
3,2,9,10,,
3,2,8,9,,
4,2,8,9,10,
3,2,5,7,,
3,2,5,6,,
4,2,5,6,7,
3,2,4,7,,
3,2,3,9,,
4,2,3,9,10,
3,2,3,8,,
4,2,3,8,10,
4,2,3,8,9,
5,2,3,8,9,10
3,1,9,10,,
3,1,8,10,,
3,1,8,9,,
3,1,6,7,,
3,1,5,7,,
3,1,5,6,,
4,1,5,6,7,
3,1,4,7,,
4,1,4,5,7,
4,1,4,5,6,
3,1,3,9,,
4,1,3,9,10,
3,1,3,8,,
4,1,3,8,9,
5,1,3,8,9,10
3,1,2,7,,
3,1,2,10,,
3,1,2,9,,
4,1,2,9,10,
3,1,2,8,,
4,1,2,8,10,
4,1,2,8,9,
5,1,2,8,9,10
3,1,2,6,,
4,1,2,6,7,
3,1,2,5,,
4,1,2,5,7,
4,1,2,5,6,
5,1,2,5,6,7
3,1,2,4,,
4,1,2,4,7,
5,1,2,4,9,10
4,1,2,4,6,
4,1,2,4,5,
5,1,2,4,5,7
5,1,2,4,5,6
3,1,2,3,,
4,1,2,3,10,
4,1,2,3,9,
5,1,2,3,9,10
4,1,2,3,8,
5,1,2,3,8,10
5,1,2,3,8,9
